r-Apple,p-Apple-9,w-Apple,r-Orange,p-Orange-9,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
r-Apple,p-Apple-1,w-Apple,r-Orange,p-Orange-2,w-Orange
r-Apple,m-Apple-1,w-Apple,r-Orange,m-Orange-2,w-Orange
